시설명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,설치년도,설치목적,데이터기준일자,제공기관코드,제공기관명
전하빗물펌프장,경상남도,김해시,,경상남도 김해시 삼정동 559-55,35.21660932,128.9004164,055-330-4866,2018,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
선천맨홀빗물펌프장,경상남도,김해시,,경상남도 김해시 풍유동 854,35.22488919,128.8486475,055-330-4866,2018,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
모정 배수장,경상남도,김해시,,경상남도 김해시 한림면 금곡리 971-12,35.34977783,128.8078384,055-330-0878,1993,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
고모 배수장,경상남도,김해시,,경상남도 김해시 진례면 담안리 245-1,35.26470968,128.7626559,055-330-0878,2017,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
용성 양배수장,경상남도,김해시,,경상남도 김해시 진영읍 본산리 622-2,35.3208428,128.7433869,055-330-0878,2000,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
본산 양배수장,경상남도,김해시,,경상남도 김해시 한림면 가산리 303-2,35.32915467,128.750760,055-330-0878,1993,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
효동 배수장,경상남도,김해시,,경상남도 김해시 진영읍 설창리 289-5,35.30287521,128.7739442,055-330-0878,1984,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
청천 배수장,경상남도,김해시,,경상남도 김해시 진영읍 의전리 144-9,35.2651767843,128.7592976462,055-330-0878,2003,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
흥동맨홀빗물펌프장,경상남도,김해시,,경상남도 김해시 흥동 544-61,35.22260833,128.8525343,055-330-4866,2012,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
봉황대2빗물펌프장,경상남도,김해시,,경상남도 김해시 봉황동 46-10,35.22587549,128.876011,055-330-4866,2021,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
봉황대빗물펌프장,경상남도,김해시,,경상남도 김해시 봉황동 469-2,35.22998287,128.8738361,055-330-4866,2012,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
봉황빗물펌프장,경상남도,김해시,,경상남도 김해시 봉황동 456-1,35.23413971,128.8729527,055-330-4866,2010,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
전하빗물펌프장,경상남도,김해시,,경상남도 김해시 전하동 647-1,35.22078997,128.8673883,055-330-4866,2012,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
외동빗물펌프장,경상남도,김해시,,경상남도 김해시 전하동 1226,35.19995145,128.8633447,055-330-4866,2012,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
회현빗물펌프장,경상남도,김해시,,경상남도 김해시 강동 452-3,35.2138008,128.8839713,055-330-4866,2010,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
삼정2빗물펌프장,경상남도,김해시,,경상남도 김해시 삼정동 456-8,35.22572765,128.898507,055-330-4866,2018,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
삼정빗물펌프장,경상남도,김해시,,경상남도 김해시 삼정동 171,35.22753948,128.904547,055-330-4866,2006,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
안동빗물펌프장,경상남도,김해시,,경상남도 김해시 불암동 264-1,35.22021029,128.9223295,055-330-4866,2009,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
주촌 천곡 맨홀 펌프장,경상남도,김해시,,경상남도 김해시 주촌면 천곡리119-19번지,35.24135702,128.8292839,055-330-4667,2012,도로 침수예방,2026-01-29,5350000,경상남도 김해시
한림 장방배수장,경상남도,김해시,,경상남도 김해시 한림면 장방리1253-60,35.31851539,128.8025665,055-330-4667,2004,도로 침수예방,2026-01-29,5350000,경상남도 김해시
진례 테크노벨리 배수장,경상남도,김해시,,경상남도 김해시 진례면 고모리1304-6,35.2712973,128.7652958,055-330-4667,2018,도로 침수예방,2026-01-29,5350000,경상남도 김해시
장유 무계지하차도,경상남도,김해시,,경상남도 김해시 무계동391-16,35.19975241,128.8116663,055-330-4667,2000,도로 침수예방,2026-01-29,5350000,경상남도 김해시
동김해 지하차도,경상남도,김해시,,경상남도 김해시 삼정동169-1,35.22834919,128.9042881,055-330-4667,2009,도로 침수예방,2026-01-29,5350000,경상남도 김해시
불암동 지하차도,경상남도,김해시,,경상남도 김해시 불암동221-2,35.22015309,128.9271586,055-330-4667,2010,도로 침수예방,2026-01-29,5350000,경상남도 김해시
안하2 배수장,경상남도,김해시,,경상남도 김해시 한림면 안하리 769-6,35.30674415,128.8236404,055-330-0878,2021,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
봉암 배수장,경상남도,김해시,,경상남도 김해시 상동면 대감리 1375,35.31599982,128.9405374,055-330-0878,2021,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
용덕 배수장,경상남도,김해시,,경상남도 김해시 주촌면 천곡리 1230-8,35.22344954,128.8418329,055-330-0878,2006,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
여차 배수장,경상남도,김해시,,경상남도 김해시 상동면 여차리 1560,35.36119096,128.8993475,055-330-0878,2012,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
새들재 배수장,경상남도,김해시,,경상남도 김해시 상동면 매리 1246,35.31988957,128.961357,055-330-0878,2012,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
대감 배수장,경상남도,김해시,,경상남도 김해시 상동면 매리 산86-3,35.31844204,128.9481776,055-330-0878,1976,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
매리 배수장,경상남도,김해시,,경상남도 김해시 상동면 매리 1234,35.3178198,128.9552508,055-330-0878,2012,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
양지 배수장,경상남도,김해시,,경상남도 김해시 생림면 도요리 590-2,35.29971797,128.8767667,055-330-0878,2008,수리시설(양배수) 유지관리,2026-01-29,5350000,경상남도 김해시
소요2배수장,경기도,동두천시,,경기도 동두천시 하봉암동 324-1,37.95794765,127.0611374,,2014,도시침수방지,2025-08-12,3920000,경기도 동두천시
소요1배수장,경기도,동두천시,,경기도 동두천시 동두천동 531-48,37.92286085,127.0517678,,2014,도시침수방지,2025-08-12,3920000,경기도 동두천시
보산2배수장,경기도,동두천시,경기도 동두천시 상패로 210-27,경기도 동두천시 보산동 431-36,37.91665362,127.0558196,,2012,도시침수방지,2025-08-12,3920000,경기도 동두천시
보산1배수장,경기도,동두천시,,경기도 동두천시 보산동 431-58,37.91622913,127.0560373,,2018,도시침수방지,2025-08-12,3920000,경기도 동두천시
중앙3배수장,경기도,동두천시,,경기도 동두천시 생연동 818-49,37.90472555,127.0509721,,2014,도시침수방지,2025-08-12,3920000,경기도 동두천시
중앙2배수장,경기도,동두천시,경기도 동두천시 강변로430번길 7,경기도 동두천시 생연동 826-1,37.90759305,127.0513923,,2013,도시침수방지,2025-08-12,3920000,경기도 동두천시
중앙1배수장,경기도,동두천시,,경기도 동두천시 생연동 580-6,37.91182402,127.0542995,,2012,도시침수방지,2025-08-12,3920000,경기도 동두천시
생연2배수장,경기도,동두천시,경기도 동두천시 삼육사로 890,경기도 동두천시 생연동 795-1,37.90025575,127.0488839,,2014,도시침수방지,2025-08-12,3920000,경기도 동두천시
생연1배수장,경기도,동두천시,경기도 동두천시 강변로 364-13,경기도 동두천시 생연동 807-1,37.90137959,127.0484267,,2014,도시침수방지,2025-08-12,3920000,경기도 동두천시
전민동 청버들 배수펌프장,대전광역시,유성구,,대전광역시 유성구 전민동 108-2,36.40903466,127.413945,042-611-2329,2017,침수방지,2025-07-31,3670000,대전광역시 유성구
단암 배수펌프장,충청북도,충주시,,충청북도 충주시 앙성면 단암리 182-13,37.18820201,127.7466745,,2022,재난대응용,2025-07-31,4390000,충청북도 충주시
만정 배수펌프장,충청북도,충주시,,충청북도 충주시 대소원면 검단리 73-2,36.96485699,127.8762794,,2010,침수방지,2025-07-31,4390000,충청북도 충주시
칠금 간이배수펌프장,충청북도,충주시,,충청북도 충주시 칠금동 459-57,36.9877203,127.8921634,,1992,침수방지,2025-07-31,4390000,충청북도 충주시
목계 배수펌프장,충청북도,충주시,,충청북도 충주시 엄정면 목계리 247,37.07695324,127.8860756,,2002,침수방지,2025-07-31,4390000,충청북도 충주시
창동 배수펌프장,충청북도,충주시,,충청북도 충주시 중앙탑면 창동리 196,36.98586887,127.8860862,,2000,침수방지,2025-07-31,4390000,충청북도 충주시
용두 배수펌프장,충청북도,충주시,,충청북도 충주시 용두동 461-16,36.97162793,127.889175,,1992,침수방지,2025-07-31,4390000,충청북도 충주시
봉방 배수펌프장,충청북도,충주시,,충청북도 충주시 봉방동 546-3,36.98123293,127.8971979,,1992,침수방지,2025-07-31,4390000,충청북도 충주시
토계배수펌프장,충청북도,충주시,,충청북도 충주시 살미면 토계리 447,36.89832601,127.9197934,,2022,재난대응용,2025-07-31,4390000,충청북도 충주시
신림5빗물펌프장,서울특별시,관악구,서울특별시 관악구 관천로 126,,37.48949705,126.919683,02-879-6848,2012,침수방지,2025-08-07,3200000,서울특별시 관악구
신림2빗물펌프장,서울특별시,관악구,서울특별시 관악구 신사로 139,,37.48936355,126.9173005,02-879-6848,2015,침수방지,2025-08-07,3200000,서울특별시 관악구
신림빗물펌프장,서울특별시,관악구,서울특별시 관악구 신사로 46,,37.4847706,126.9082703,02-879-6839,2005,침수방지,2025-08-07,3200000,서울특별시 관악구
문현지하차도 배수펌프장,부산광역시,남구,,부산광역시 남구 문현동 682,35.14145158,129.0671298,051-607-4676,1980,침수예방,2025-08-13,3310000,부산광역시 남구
대남지하차도 배수펌프장,부산광역시,남구,부산광역시 남구 수영로 366번길,,35.138526,129.106292,051-607-4676,1996,침수예방,2025-08-13,3310000,부산광역시 남구
백세교 우수저류지,부산광역시,남구,,부산광역시 남구 용호동 869,35.113884,129.1163929,051-607-4676,2016,침수예방,2025-08-13,3310000,부산광역시 남구
용호중학교우수저류지,부산광역시,남구,부산광역시 남구 동명로 185-17,부산광역시 남구 용호동 512,35.11934251,129.1169769,051-607-4676,2014,침수예방,2025-08-13,3310000,부산광역시 남구
용당 배수펌프장,부산광역시,남구,부산광역시 남구 신선로329번길 92,부산광역시 남구 용당동 218-13,35.112870,129.093275,051-607-4676,2024,침수예방,2025-08-13,3310000,부산광역시 남구
삼성시장 배수펌프장,부산광역시,남구,,부산광역시 남구 용호동 265-1,35.1235699,129.1103526,051-607-4676,2015,침수예방,2025-08-13,3310000,부산광역시 남구
용호 배수펌프장,부산광역시,남구,부산광역시 남구 이기대공원로 7,부산광역시 남구 용호동 36-7,35.124561,129.113486,051-607-4676,2012,침수예방,2025-08-13,3310000,부산광역시 남구
덕곡 상시배수장,경상남도,합천군,,경상남도 합천군 덕곡면 율지리 314-3,35.61661458,128.3488211,,2012,침수방지,2025-07-23,5480000,경상남도 합천군
외촌 간이배수장,경상남도,합천군,,경상남도 합천군 쌍책면 성산리 272,35.57862413,128.2876506,,2010,침수방지,2025-07-23,5480000,경상남도 합천군
대목 간이배수장,경상남도,합천군,,경상남도 합천군 대양면 대목리 433-3,35.52398249,128.1684657,,2004,침수방지,2025-07-23,5480000,경상남도 합천군
광암 배수장,경상남도,합천군,경상남도 합천군 청덕면 앙진길 288-38,,35.51359115,128.368194,,2001,침수방지,2025-07-23,5480000,경상남도 합천군
덕연 배수장,경상남도,합천군,,경상남도 합천군 청덕면 미곡리 314,35.57528868,128.3383559,,2007,침수방지,2025-07-23,5480000,경상남도 합천군
외삼학 배수장,경상남도,합천군,,경상남도 합천군 청덕면 삼학리 48-6,35.5784885,128.3558963,,2007,침수방지,2025-07-23,5480000,경상남도 합천군
대부 배수장,경상남도,합천군,,경상남도 합천군 청덕면 대부리 1293-4,35.54172514,128.3484864,,2001,침수방지,2025-07-23,5480000,경상남도 합천군
적포 배수장,경상남도,합천군,경상남도 합천군 청덕면 동부로 2117-10,,35.55849348,128.3492862,,2001,침수방지,2025-07-23,5480000,경상남도 합천군
북동 배수장,경상남도,합천군,경상남도 합천군 덕곡면 율지포두길 300-11,,35.64147616,128.3522335,,2004,침수방지,2025-07-23,5480000,경상남도 합천군
두사 배수장,경상남도,합천군,,경상남도 합천군 율곡면 두사리 25-3,35.59969954,128.2276504,,2023,침수방지,2025-07-23,5480000,경상남도 합천군
문림 배수장,경상남도,합천군,,경상남도 합천군 율곡면 문림리 380-1,35.56801089,128.1968142,,1989,침수방지,2025-07-23,5480000,경상남도 합천군
초성배수펌프장,경기도,연천군,경기도 연천군 청산면 청창로 52,경기도 연천군 청산면 초성리 291-9,38.00488998,127.0724893,031-839-2453,2011,침수피해 예방,2025-07-11,4140000,경기도 연천군
장남배수펌프장,경기도,연천군,경기도 연천군 장남면 장남로163번길 68,경기도 연천군 장남면 고랑포리 12-4,37.9873174,126.8600398,031-839-2453,2001,침수피해 예방,2025-07-11,4140000,경기도 연천군
연천배수펌프장,경기도,연천군,경기도 연천군 연천읍 연천로 146,경기도 연천군 연천읍 차탄리 193-7,38.08932098,127.0727665,031-839-2453,2013,침수피해 예방,2025-07-11,4140000,경기도 연천군
백의배수펌프장,경기도,연천군,경기도 연천군 청산면 청창로 727,경기도 연천군 청산면 백의리 822-21,38.02382813,127.1367512,031-839-2453,2012,침수피해 예방,2025-07-11,4140000,경기도 연천군
무등배수펌프장,경기도,연천군,경기도 연천군 왕징면 왕산로78번길 34-20,경기도 연천군 왕징면 무등리 1-3,38.05993193,127.0124763,031-839-2453,2007,침수피해 예방,2025-07-11,4140000,경기도 연천군
두일배수펌프장,경기도,연천군,경기도 연천군 백학면 장백로 874,경기도 연천군 백학면 두일리 684-1,38.01412436,126.9095134,031-839-2453,2011,침수피해 예방,2025-07-11,4140000,경기도 연천군
노곡배수펌프장,경기도,연천군,,경기도 연천군 백학면 노곡리 981,38.0018563,126.9021793,031-839-2453,2009,침수피해 예방,2025-07-11,4140000,경기도 연천군
성북교 지하차도 배수펌프장,대구광역시,북구,,대구광역시 북구 침산동 1662-20,35.89110771,128.5946133,,,지하차도 침수방지,2025-07-02,3450000,대구광역시 북구
도청교 지하차도 배수펌프장,대구광역시,북구,,대구광역시 북구 침산동 22-109,35.88773464,128.5991759,,,지하차도 침수방지,2025-07-02,3450000,대구광역시 북구
운산 빗물펌프장,경상북도,안동시,경상북도 안동시 안평일직길 1317,경상북도 안동시 일직면 운산리 58-43,36.4736525,128.6600893,054-840-5764,2008,침수방지,2025-11-01,5070000,경상북도 안동시
태화 빗물펌프장,경상북도,안동시,경상북도 안동시 태화중앙로 18,경상북도 안동시 태화동 570-1,36.5585229,128.7067254,054-840-5764,2006,침수방지,2025-11-01,5070000,경상북도 안동시
당북 빗물펌프장,경상북도,안동시,,경상북도 안동시 당북동 400-5,36.558712,128.7180157,054-840-5764,2012,침수방지,2025-11-01,5070000,경상북도 안동시
운흥 빗물펌프장,경상북도,안동시,경상북도 안동시 축제장1길 11,경상북도 안동시 안흥동 364-12,36.5603415,128.7260109,054-840-5764,2016,침수방지,2025-11-01,5070000,경상북도 안동시
용상 빗물펌프장,경상북도,안동시,,경상북도 안동시 용상동 1517-92,36.5553401,128.749574,054-840-5764,2000,침수방지,2025-11-01,5070000,경상북도 안동시
영춘배수펌프장,충청북도,단양군,충청북도 단양군 영춘면 온달평강로 25,,37.07576258,128.4849472,043-420-2874,2003,영춘면 침수 방지,2025-09-30,4480000,충청북도 단양군
정관평배수장,전라남도,영광군,,전라남도 영광군 백수읍 길용리 2-36,35.32995252,126.4444298,061-350-5283,2024,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
월계3배수장,전라남도,영광군,,전라남도 영광군 법성면 신장리 10,35.331927,126.5002928,061-350-5283,2024,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
진량2배수장,전라남도,영광군,,전라남도 영광군 법성면 신장리 956-1,35.32915468,126.477231,061-350-5283,2023,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
덕흥배수장,전라남도,영광군,,전라남도 영광군 법성면 덕흥리 626-16,35.327711,126.4734055,061-350-5283,2021,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
양평배수장,전라남도,영광군,,전라남도 영광군 영광읍 양평리 60,35.31307839,126.512966,061-350-5283,2016,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
미동배수장,전라남도,영광군,,전라남도 영광군 염산면 옥실리 1761-15,35.18838277,126.3701871,061-350-5283,2016,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
평전배수장,전라남도,영광군,,전라남도 영광군 영광읍 양평리 9-1,35.31757712,126.5121075,061-350-5283,2016,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
두우배수장,전라남도,영광군,전라남도 영광군 염산면 칠산로9길 28,전라남도 영광군 염산면 두우리 888-97,35.23016126,126.3005716,061-350-5283,2015,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
장산2배수장,전라남도,영광군,,전라남도 영광군 영광읍 덕호리 1286-1,35.32158174,126.4587002,061-350-5283,2006,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
송선마을 배수펌프장,부산광역시,남구,부산광역시 남구 신선로 514,부산광역시 남구 대연동 627-41,35.129162,129.105155,051-607-4676,2012,침수예방,2025-08-13,3310000,부산광역시 남구
동천3 배수펌프장,부산광역시,남구,,부산광역시 남구 문현동 967-4,35.13370807,129.0669928,051-607-4676,2021,침수예방,2025-08-13,3310000,부산광역시 남구
동천2 배수펌프장,부산광역시,남구,부산광역시 남구 남동천로 8-2,부산광역시 남구 문현동 810-2,35.137728,129.066667,051-607-4676,2009,침수예방,2025-08-13,3310000,부산광역시 남구
동천1 배수펌프장,부산광역시,남구,부산광역시 남구 전포대로 91번길47,부산광역시 남구 문현동 751,35.144303,129.064241,051-607-4676,2001,침수예방,2025-08-13,3310000,부산광역시 남구
자성대2배수펌프장,부산광역시,동구,부산광역시 동구 자성로140번길 36,부산광역시 동구 범일동 825-19,35.13555753,129.0648097,051-440-4671,2017,취락침수예방,2025-08-20,3270000,부산광역시 동구
자성대1배수펌프장,부산광역시,동구,부산광역시 동구 자성로140번길 33,부산광역시 동구 범일동 825-23,35.13515646,129.0648231,051-440-4671,2014,취락침수예방,2025-08-20,3270000,부산광역시 동구
광안하수펌프장,부산광역시,수영구,부산광역시 수영구 광안해변로54번길 222,부산광역시 수영구 남천동148-100,35.14614421,129.1153254,051-610-4675,1992,하수처리,2025-08-11,3380000,부산광역시 수영구
병배 배수장,경상남도,합천군,,경상남도 합천군 덕곡면 병배리 71,35.61871662,128.3456406,,2014,침수방지,2025-07-23,5480000,경상남도 합천군
군남배수펌프장,경기도,연천군,경기도 연천군 군남면 진상17길 91-81,경기도 연천군 군남면 진상리 679,38.06177755,127.0168382,031-839-2453,2001,침수피해 예방,2025-07-11,4140000,경기도 연천군
구미배수펌프장,경기도,연천군,경기도 연천군 백학면 노아로 504-46,경기도 연천군 백학면 구미리 10-2,38.00232794,126.9641249,031-839-2453,2009,침수피해 예방,2025-07-11,4140000,경기도 연천군
오정빗물펌프장,경기도,부천시,,경기도 부천시 오정구 오정동 782,37.52902295,126.7964999961,,2016,침수방지,2025-08-01,3860000,경기도 부천시
소사우수조정지,경기도,부천시,경기도 부천시 소사구 소삼로36번길 16,경기도 부천시 소사구 소사본동 138-4,37.47765816,126.7967783,,2002,침수방지,2025-08-01,3860000,경기도 부천시
삼정빗물펌프장,경기도,부천시,,경기도 부천시 오정구 삼정동 88-27,37.52325349,126.7693057,,2007,침수방지,2025-08-01,3860000,경기도 부천시
베르네천 우수저류시설,경기도,부천시,경기도 부천시 오정구 성오로 1,경기도 부천시 오정구 여월동 321,37.51430878,126.8045264,,2015,침수방지,2025-08-01,3860000,경기도 부천시
내동빗물펌프장,경기도,부천시,,경기도 부천시 오정구 내동 378-1,37.52378228,126.7774535,,2005,침수방지,2025-08-01,3860000,경기도 부천시
입암배수장,전라남도,영광군,,전라남도 영광군 법성면 입암리 16-5,35.32729298,126.4577517,061-350-5283,2001,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
야월배수장,전라남도,영광군,,전라남도 영광군 염산면 야월리 272-50,35.236239,126.3235308,061-350-5283,2019,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
장산1배수장,전라남도,영광군,,전라남도 영광군 백수읍 장산리 891-8,35.31739481,126.4603763,061-350-5283,2006,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
지안일배수장,전라남도,영광군,전라남도 영광군 법성면 신장길 57,전라남도 영광군 법성면 덕흥리 285-11,35.328439,126.4743522,061-350-5283,2000,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
월계2배수장,전라남도,영광군,,전라남도 영광군 법성면 월산리 866,35.33501132,126.5062664,061-350-5283,2002,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
상둔배수장,전라남도,영광군,,전라남도 영광군 백수읍 장산리 649-1,35.3233563,126.4555301,061-350-5283,2002,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
와룡2배수장,전라남도,영광군,,전라남도 영광군 영광읍 와룡리 1078-1,35.33152578,126.5047726,061-350-5283,2002,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
부귀동배수장,전라남도,영광군,,전라남도 영광군 법성면 신장리 924-10,35.3292281,126.4856054,061-350-5283,2001,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
진량배수장,전라남도,영광군,,전라남도 영광군 법성면 신장리 895-10,35.32989051,126.4776019,061-350-5283,2001,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
와룡1배수장,전라남도,영광군,,전라남도 영광군 영광읍 와룡리 1094-12,35.3263179,126.4984933,061-350-5283,2001,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
와전배수장,전라남도,영광군,,전라남도 영광군 영광읍 와룡리 1031-3,35.32452835,126.496732,061-350-5283,2001,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
신월배수장,전라남도,영광군,,전라남도 영광군 영광읍 양평리 535-4,35.31772312,126.5033807,061-350-5283,2001,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
구평배수장,전라남도,영광군,,전라남도 영광군 영광읍 와룡리 1170-1,35.33561342,126.5102646,061-350-5283,2000,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
월계배수장,전라남도,영광군,,전라남도 영광군 법성면 월산리 558-1,35.33194087,126.503131,061-350-5283,2000,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
칠성동배수장,전라남도,영광군,,전라남도 영광군 영광읍 덕호리 1307,35.31339833,126.4698368,061-350-5283,1999,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
장산배수장,전라남도,영광군,,전라남도 영광군 백수읍 장산리 910-10,35.31036781,126.470128,061-350-5283,1999,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
창포배수장,전라남도,영광군,,전라남도 영광군 영광읍 송림리 1093-1,35.30692179,126.4692438,061-350-5283,1997,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
구수배수장,전라남도,영광군,,전라남도 영광군 백수읍 구수리 852-6,35.34295041,126.4371844,061-350-5283,1997,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
장호배수장,전라남도,영광군,,전라남도 영광군 군서면 만금리 658-1,35.254719,126.462887,061-350-5283,1996,논경지 침수피해 방지,2025-09-24,5890000,전남광주통합특별시 영광군
구포,부산광역시,북구,부산광역시 북구 낙동대로1769,,35.2098614,129.003188,051-309-4675,2002,침수예방,2025-08-20,3320000,부산광역시 북구
덕천,부산광역시,북구,부산광역시 북구 낙동대로1739번길 16,,35.2104541,129.001677,051-309-4676,1990,침수예방,2025-08-20,3320000,부산광역시 북구
신촌펌프장,전라남도,함평군,,전라남도 함평군 함평읍 기각리 189-7,35.06059824,126.5273122,061-320-1992,2011,침수방지,2025-09-08,5885000,전남광주통합특별시 함평군
쌍교펌프장,전라남도,함평군,,전라남도 함평군 학교면 학교리 445-10,35.01859124,126.5366578,061-320-1992,1999,침수방지,2025-09-08,5885000,전남광주통합특별시 함평군
원고막펌프장,전라남도,함평군,,전라남도 함평군 학교면 고막리 108-1,35.03339024,126.5923865,061-320-1992,1985,침수방지,2025-09-08,5885000,전남광주통합특별시 함평군
나산펌프장,전라남도,함평군,,전라남도 함평군 나산면 삼축리 1213-14,35.1085789,126.608371,061-320-1992,2021,침수방지,2025-09-08,5885000,전남광주통합특별시 함평군
우시장펌프장,전라남도,함평군,,전라남도 함평군 함평읍 기각리 196-6,35.06200733,126.5266488,061-320-1992,1992,침수방지,2025-09-08,5885000,전남광주통합특별시 함평군
5일시장펌프장,전라남도,함평군,,전라남도 함평군 함평읍 기각리 264-1,35.06351118,126.5240035,061-320-1992,2021,침수방지,2025-09-08,5885000,전남광주통합특별시 함평군
손오배수장,경상남도,의령군,,경상남도 의령군 부림면 손오리 395-1,35.47297364,128.3583144,055-570-3624,2014,침수방지,2025-09-09,5390000,경상남도 의령군
박진2배수장,경상남도,의령군,,경상남도 의령군 부림면 경산리 672,35.44017656,128.3743893,055-570-3624,2024,침수방지,2025-09-09,5390000,경상남도 의령군
박진배수장,경상남도,의령군,,경상남도 의령군 부림면 경산리 697,35.43929977,128.3750969,055-570-3624,2004,침수방지,2025-09-09,5390000,경상남도 의령군
대교배수펌프장,충청남도,논산시,충청남도 논산시 강변로 474-10,충청남도 논산시 대교동 210,36.212729,127.092198,041-746-6469,2018,우천시 펌프장 부근 하천 방류,2025-08-19,4540000,충청남도 논산시
방축배수펌프장,충청남도,논산시,충청남도 논산시 채운면 계백로499번길 96-66,충청남도 논산시 채운면 화산리 190-5,36.182724,127.054015,041-746-6466,2017,우천시 펌프장 부근 하천 방류,2025-08-19,4540000,충청남도 논산시
등화배수펌프장,충청남도,논산시,충청남도 논산시 강변로 309-97,충청남도 논산시 부창동 567,36.199845,127.070418,041-746-6466,2001,우천시 펌프장 부근 하천 방류,2025-08-19,4540000,충청남도 논산시
낭청배수펌프장,충청남도,논산시,충청남도 논산시 강경읍 계백로 7,충청남도 논산시 강경읍 채산리516-15,36.147906,127.006379,041-746-6468,1999,우천시 펌프장 부근 하천 방류,2025-08-19,4540000,충청남도 논산시
지산배수펌프장,충청남도,논산시,충청남도 논산시 지산길 48,충청남도 논산시 지산동 828,36.208258,127.114925,041-746-6469,1997,우천시 펌프장 부근 하천 방류,2025-08-19,4540000,충청남도 논산시
동흥배수펌프장,충청남도,논산시,충청남도 논산시 강경읍 금백로175번길 35,충청남도 논산시 강경읍 동흥리128-8,36.166387,127.014627,041-746-6468,1997,우천시 펌프장 부근 하천 방류,2025-08-19,4540000,충청남도 논산시
서창배수펌프장,충청남도,논산시,충청남도 논산시 강경읍 금백로 101-9,충청남도 논산시 강경읍 황산리198-3,36.162148,127.012035,041-746-6468,1992,우천시 펌프장 부근 하천 방류,2025-08-19,4540000,충청남도 논산시
덕두,부산광역시,강서구,부산광역시 강서구 공항로811번가길 34,부산광역시 강서구 대저2동 2009-1,35.1782098,128.9565564,051-970-4650,,침수방지,2025-08-26,3360000,부산광역시 강서구
신덕,부산광역시,강서구,부산광역시 강서구 체육공원로6번길 28,부산광역시 강서구 대저1동 2832,35.204787,128.9753728,051-970-4516,,침수방지,2025-08-26,3360000,부산광역시 강서구
